Vehicle,MSRP,Dealer Cost,Engine Size,Number of Cylinders,Horsepower,MPG - City,MPG - Hwy,Weight,Wheelbase,Length,Width,Drive Wheels,Vehicle Type
Mitsubishi Galant ES 2.4L 4dr,19312,17957,2.4,4,160,,,3351,108,191,72,FWD,Sedan
Mitsubishi Lancer OZ Rally 4dr auto,17232,16196,2,4,120,,,2744,102,181,67,FWD,Sedan
Nissan Altima S 4dr,19240,18030,2.5,4,175,21,26,3039,110,192,70,FWD,Sedan
Nissan Sentra SE-R 4dr,17640,16444,2.5,4,165,23,28,2761,100,178,67,FWD,Sedan
Oldsmobile Alero GX 2dr,18825,17642,2.2,4,140,24,32,2946,107,187,70,FWD,Sedan
Pontiac Grand Am GT 2dr,22450,20595,3.4,6,175,20,29,3118,107,186,70,FWD,Sedan
Pontiac Grand Prix GT1 4dr,22395,20545,3.8,6,200,20,30,3477,111,198,74,FWD,Sedan
Pontiac Sunfire 1SC 2dr,17735,16369,2.2,4,140,24,33,2771,104,182,68,FWD,Sedan
Saturn L300-2 4dr,21410,19801,3,6,182,20,28,3197,107,190,69,FWD,Sedan
Subaru Impreza 2.5 RS 4dr,19945,18399,2.5,4,165,22,28,2965,99,174,69,AWD,Sedan
Subaru Legacy L 4dr,20445,18713,2.5,4,165,21,28,3285,104,184,69,AWD,Sedan
Suzuki Verona LX 4dr,17262,17053,2.5,6,155,20,27,3380,106,188,72,FWD,Sedan
Toyota Camry LE 4dr,19560,17558,2.4,4,157,24,33,3086,107,189,71,FWD,Sedan
Toyota Camry LE V6 4dr,22775,20325,3,6,210,21,29,3296,107,189,71,FWD,Sedan
Toyota Camry Solara SE 2dr,19635,17722,2.4,4,157,24,33,3175,107,193,72,FWD,Sedan
Toyota Camry Solara SE V6 2dr,21965,19819,3.3,6,225,20,29,3417,107,193,72,FWD,Sedan
Toyota Prius 4dr (gas/electric),20510,18926,1.5,4,110,59,51,2890,106,175,68,FWD,Sedan
Volkswagen Golf GLS 4dr,18715,17478,2,4,115,24,31,2897,99,165,68,FWD,Sedan
Volkswagen GTI 1.8T 2dr hatch,19825,18109,1.8,4,180,24,31,2934,99,168,68,FWD,Sedan
Volkswagen Jetta GLS TDI 4dr,21055,19638,1.9,4,100,38,46,3003,99,172,68,FWD,Sedan
Volkswagen New Beetle GLS 1.8T 2dr,21055,19638,1.8,4,150,24,31,2820,99,161,68,FWD,Sedan
Acura RSX Type S 2dr,23820,21761,2,4,200,24,31,2778,101,172,68,FWD,Sedan
Acura TSX 4dr,26990,24647,2.4,4,200,22,29,3230,105,183,69,FWD,Sedan
Audi A4 1.8T 4dr,25940,23508,1.8,4,170,22,31,3252,104,179,70,FWD,Sedan
BMW 325i 4dr,28495,26155,2.5,6,184,20,29,3219,107,176,69,RWD,Sedan
Buick LeSabre Custom 4dr,26470,24282,3.8,6,205,20,29,3567,112,200,74,FWD,Sedan
Buick Regal LS 4dr,24895,22835,3.8,6,200,20,30,3461,109,196,73,FWD,Sedan
Buick Regal GS 4dr,28345,26047,3.8,6,240,18,28,3536,109,196,73,FWD,Sedan
Chevrolet Impala LS 4dr,25000,22931,3.8,6,200,20,30,3476,111,200,73,FWD,Sedan
Chevrolet Impala SS 4dr,27995,25672,3.8,6,240,18,28,3606,111,200,73,FWD,Sedan
Chevrolet Malibu LT 4dr,23495,21551,3.5,6,200,23,32,3315,106,188,70,FWD,Sedan
Chevrolet Monte Carlo SS 2dr,24225,22222,3.8,6,200,18,28,3434,111,198,73,FWD,Sedan
Chrysler 300M 4dr,29865,27797,3.5,6,250,18,27,3581,113,198,74,FWD,Sedan
Chrysler Concorde LX 4dr,24130,22452,2.7,6,200,21,29,3479,113,208,74,FWD,Sedan
Chrysler Concorde LXi 4dr,26860,24909,3.5,6,232,19,27,3548,113,208,74,FWD,Sedan
Chrvsler PT Cruiser GT 4dr,25955,24172,2.4,4,220,21,27,3217,103,169,67,FWD,Sedan
Chrysler Sebring convertible 2dr,25215,23451,2.4,4,150,22,30,3357,106,194,64,FWD,Sedan
Dodge Intrepid ES 4dr,24885,23058,3.5,6,232,18,27,3487,113,204,75,FWD,Sedan
Ford Crown Victoria 4dr,24345,22856,4.6,8,224,17,25,4057,115,212,78,RWD,Sedan
Ford Crown Victoria LX 4dr,27370,25105,4.6,8,224,17,25,4057,115,212,78,RWD,Sedan
Honda Accord LX V6 4dr,23760,21428,3,6,240,21,30,3349,108,190,72,FWD,Sedan
Honda Accord EX V6 2dr,26960,24304,3,6,240,21,30,3294,105,188,71,FWD,Sedan
Hyundai XG350 4dr,24589,22055,3.5,6,194,17,26,3651,108,192,72,FWD,Sedan
Hyundai XG350 L 4dr,26189,23486,3.5,6,194,17,26,3651,108,192,72,FWD,Sedan
Infiniti G35 4dr,28495,26157,3.5,6,260,18,26,3336,112,187,69,RWD,Sedan
Infiniti G35 Sport Coupe 2dr,29795,27536,3.5,6,280,18,26,3416,112,182,72,RWD,Sedan
Jaguar X-Type 2.5 4dr,29995,27355,2.5,6,192,18,26,3428,107,184,70,AWD,Sedan
Kia Amanti 4dr,26000,23764,3.5,6,195,17,25,,110,196,73,FWD,Sedan
Mercedes-Benz C230 Sport 2dr,26060,24249,1.8,4,189,22,30,3250,107,178,68,RWD,Sedan
Mercedes-Benz C320 Sport 2dr,28370,26435,3.2,6,215,19,26,3430,107,178,68,RWD,Sedan
Mercury Grand Marquis GS 4dr,24695,23217,4.6,8,224,17,25,4052,115,212,78,RWD,Sedan
Mercury Grand Marquis LS Premium 4dr,29595,27148,4.6,8,224,17,25,4052,115,212,78,RWD,Sedan
Mercury Sable LS Premium 4dr,23895,21918,3,6,201,19,26,3315,109,200,73,FWD,Sedan
Mitsubishi Diamante LS 4dr,29282,27250,3.5,6,205,18,25,3549,107,194,70,FWD,Sedan
Mitsubishi Galant GTS 4dr,25700,23883,3.8,6,230,18,26,3649,108,191,72,FWD,Sedan
Nissan Altima SE 4dr,23290,21580,3.5,6,245,21,26,3197,110,192,70,FWD,Sedan
Nissan Maxima SE 4dr,27490,25182,3.5,6,265,20,28,3473,111,194,72,FWD,Sedan
Nissan Maxima SL 4dr,29440,26966,3.5,6,265,20,28,3476,111,194,72,FWD,Sedan
Oldsmobile Alero GLS 2dr,23675,21485,3.4,6,170,20,29,3085,107,187,70,FWD,Sedan
Pontiac Grand Prix GT2 4dr,24295,22284,3.8,6,200,20,30,3484,111,198,74,FWD,Sedan
Subaru Legacy GT 4dr,25645,23336,2.5,4,165,21,28,3395,104,184,69,AWD,Sedan
Subaru Outback Limited Sedan 4dr,27145,24687,2.5,4,165,20,27,3495,104,184,69,AWD,Sedan
Subaru Outback H6 4dr,29345,26660,3,6,212,19,26,3610,104,184,69,AWD,Sedan
Toyota Avalon XL 4dr,26560,23693,3,6,210,21,29,3417,107,192,72,FWD,Sedan
Toyota Camry XLE V6 4dr,25920,23125,3,6,210,21,29,3362,107,189,71,FWD,Sedan
Toyota Camry Solara SLE V6 2dr,26510,23908,3.3,6,225,20,29,3439,107,193,72,FWD,Sedan
Volkswagen Jetta GLI VR6 4dr,23785,21686,2.8,6,200,21,30,3179,99,172,68,FWD,Sedan
Volkswagen New Beetle GLS convertible 2dr,23215,21689,2,4,115,24,30,3082,99,161,68,FWD,Sedan
Volkswagen Passat GLS 4dr,23955,21898,1.8,4,170,22,31,3241,106,185,69,FWD,Sedan
Volvo S40 4dr,25135,23701,1.9,4,170,22,29,2767,101,178,68,FWD,Sedan
Acura TL 4dr,33195,30299,3.2,6,270,20,28,3575,108,186,72,FWD,Sedan
Audi A41.8T convertible 2dr,35940,32506,1.8,4,170,23,30,3638,105,180,70,FWD,Sedan
Audi A4 3.0 4dr,31840,28846,3,6,220,20,28,3462,104,179,70,FWD,Sedan
Audi A4 3.0 Quattro 4dr manual,33430,30366,3,6,220,17,26,3583,104,179,70,AWD,Sedan
Audi A4 3.0 Quattro 4dr auto,34480,31388,3,6,220,18,25,3627,104,179,70,AWD,Sedan
Audi A6 3.0 4dr,36640,33129,3,6,220,20,27,3561,109,192,71,FWD,Sedan
Audi A6 3.0 Quattro 4dr,39640,35992,3,6,220,18,25,3880,109,192,71,AWD,Sedan
BMW 325Ci 2dr,30795,28245,2.5,6,184,20,29,3197,107,177,69,RWD,Sedan
BMW 325Ci convertible 2dr,37995,34800,2.5,6,184,19,27,3560,107,177,69,RWD,Sedan
BMW 325xi 4dr,30245,27745,2.5,6,184,19,27,3461,107,176,69,AWD,Sedan
BMW 330i 4dr,35495,32525,3,6,225,20,30,3285,107,176,69,RWD,Sedan
BMW 330Ci 2dr,36995,33890,3,6,225,20,30,3285,107,176,69,RWD,Sedan
BMW 330xi 4dr,37245,34115,3,6,225,20,29,3483,107,176,69,AWD,Sedan
BMW 525i 4dr,39995,36620,2.5,6,184,19,28,3428,114,191,73,RWD,Sedan
Buick LeSabre Limited 4dr,32245,29566,3.8,6,205,20,29,3591,112,200,74,FWD,Sedan
Buick Park Avenue 4dr,35545,32244,3.8,6,205,20,29,3778,114,207,75,FWD,Sedan
Cadillac CTS VVT 4dr,30835,28575,3.6,6,255,18,25,3694,113,190,71,RWD,Sedan
Chrysler 300M Special Edition 4dr,33295,30884,3.5,6,255,18,27,3650,113,198,74,FWD,Sedan
Chrysler Sebring Limited convertible 2dr,30950,28613,2.7,6,200,21,28,3448,106,194,69,FWD,Sedan
Ford Crown Victoria LX Sport 4dr,30315,27756,4.6,8,239,17,25,4057,115,212,78,RWD,Sedan
Infiniti G35 4dr,32445,29783,3.5,6,260,18,26,3677,112,187,69,AWD,Sedan
Infiniti I35 4dr,31145,28320,3.5,6,255,19,26,3306,108,194,70,FWD,Sedan
Jaguar X-Type 3.0 4dr,33995,30995,3,6,227,18,25,3516,107,184,70,AWD,Sedan
Lexus ES 330 4dr,32350,28755,3.3,6,225,20,29,3460,107,191,71,FWD,Sedan
Lexus IS 300 4dr manual,31045,27404,3,6,215,18,25,3255,105,177,68,RWD,Sedan
Lexus IS 300 4dr auto,32415,28611,3,6,215,18,24,3285,105,177,68,RWD,Sedan
Lincoln LS V6 Luxury 4dr,32495,29969,3,6,232,20,26,3681,115,194,73,RWD,Sedan
Lincoln LS V6 Premium 4dr,36895,33929,3,6,232,20,26,3681,115,194,73,RWD,Sedan
Mercedes-Benz C240 4dr,32280,30071,2.6,6,168,20,25,3360,107,178,68,RWD,Sedan
Mercedes-Benz C240 4dr,33480,31187,2.6,6,168,19,25,3360,107,178,68,AWD,Sedan
Mercedes-Benz C320 Sport 4dr,35920,33456,3.2,6,215,19,26,3430,107,178,68,RWD,Sedan
Mercedes-Benz C320 4dr,37630,35046,3.2,6,215,20,26,3450,107,178,68,RWD,Sedan
Mercedes-Benz C320 4dr,38830,36162,3.2,6,215,19,27,,107,178,68,AWD,Sedan
Mercury Grand Marquis LS Ultimate 4dr,30895,28318,4.6,8,224,17,25,4052,115,212,78,RWD,Sedan
Mercury Marauder 4dr,34495,31558,4.6,8,302,17,23,4195,115,212,78,RWD,Sedan
Pontiac Bonneville GXP 4dr,35995,32997,4.6,8,275,,,3790,112,203,74,FWD,Sedan
Saab 9-3 Arc Sport 4dr,30860,29269,2,4,210,20,28,3175,105,183,69,FWD,Sedan
Saab 9-3 Aero 4dr,33360,31562,2,4,210,20,28,3175,105,183,69,FWD,Sedan
Saab 9-5 Arc 4dr,35105,33011,2.3,4,220,21,29,3470,106,190,71,FWD,Sedan
Saab 9-5 Aero 4dr,39465,37721,2.3,4,250,21,29,3470,106,190,71,FWD,Sedan
Subaru Outback H-6 VDC 4dr,31545,28603,3,6,212,19,26,3630,104,184,69,AWD,Sedan
Toyota Avalon XLS 4dr,30920,27271,3,6,210,21,29,3439,107,192,72,FWD,Sedan
Volkswagen Passat GLX V6 4MOTION 4dr,33180,30583,2.8,6,190,19,26,3721,106,185,69,FWD,Sedan
Volkswagen Passat W8 4MOTION 4dr,39235,36052,4,8,270,18,25,3953,106,185,69,FWD,Sedan
Volvo S60 2.5 4dr,31745,29916,2.5,5,208,20,27,3903,107,180,71,AWD,Sedan
Volvo S60 T5 4dr,34845,32902,2.3,5,247,20,28,3766,107,180,71,FWD,Sedan
Volvo S60 R 4dr,37560,35382,2.5,5,300,18,25,3571,107,181,71,AWD,Sedan
Volvo S80 2.9 4dr,37730,35542,2.9,6,208,20,28,3576,110,190,72,FWD,Sedan
Volvo S80 2.5T 4dr,37885,35688,2.5,5,194,20,27,3691,110,190,72,AWD,Sedan
Acura 3.5 RL 4dr,43755,39014,3.5,6,225,18,24,3880,115,197,72,FWD,Sedan
Acura 3.5 RL w/Navigation 4dr,46100,41100,3.5,6,225,18,24,3893,115,197,72,FWD,Sedan
Audi A4 3.0 convertible 2dr,42490,38325,3,6,220,20,27,3814,105,180,70,FWD,Sedan
Audi A4 3.0 Quattro convertible 2dr,44240,40075,3,6,220,18,25,4013,105,180,70,AWD,Sedan
Audi A6 2.7 Turbo Quattro 4dr,42840,38840,2.7,6,250,18,25,3836,109,192,71,AWD,Sedan
Audi A6 4.2 Quattro 4dr,49690,44936,4.2,8,300,17,24,4024,109,193,71,AWD,Sedan
Audi A8 L Quattro 4dr,69190,64740,4.2,8,330,17,24,4399,121,204,75,AWD,Sedan
Audi S4 Quattro 4dr,48040,43556,4.2,8,340,14,20,3825,104,179,70,AWD,Sedan
BMW 330Ci convertible 2dr,44295,40530,3,6,225,19,28,3616,107,177,69,RWD,Sedan
BMW 530i 4dr,44995,41170,3,6,225,20,30,3472,114,191,73,RWD,Sedan
BMW 545iA 4dr,54995,50270,4.4,8,325,18,26,3814,114,191,73,RWD,Sedan
BMW 745i 4dr,69195,63190,4.4,8,325,18,26,4376,118,198,75,RWD,Sedan
BMW 745Li 4dr,73195,66830,4.4,8,325,18,26,4464,123,204,75,RWD,Sedan
Buick Park Avenue Ultra 4dr,40720,36927,3.8,6,240,18,28,3909,114,207,75,FWD,Sedan
Cadillac Deville 4dr,45445,41650,4.6,8,275,18,26,3984,115,207,74,FWD,Sedan
Cadillac Deville DTS 4dr,50595,46362,4.6,8,300,18,26,4044,115,207,74,FWD,Sedan
Cadillac Seville SLS 4dr,47955,43841,4.6,8,275,18,26,3992,112,201,75,FWD,Sedan
Infiniti M45 4dr,42845,38792,4.5,8,340,17,23,3851,110,197,70,RWD,Sedan
Infiniti Q45 Luxury 4dr,52545,47575,4.5,8,340,17,23,3977,113,200,73,RWD,Sedan
Jaguar S-Type 3.0 4dr,43895,40004,3,6,235,18,26,3777,115,192,72,RWD,Sedan
Jaguar S-Type 4.2 4dr,49995,45556,4.2,8,294,18,28,3874,115,192,72,RWD,Sedan
Jaguar S-Type R 4dr,63120,57499,4.2,8,390,17,24,4046,115,192,72,RWD,Sedan
Jaguar Vanden Plas 4dr,68995,62846,4.2,8,294,18,28,3803,119,200,73,RWD,Sedan
Jaguar XJ8 4dr,59995,54656,4.2,8,294,18,28,3803,119,200,73,RWD,Sedan
Jaguar XJR 4dr,74995,68306,4.2,8,390,17,24,3948,119,200,73,RWD,Sedan
Lexus GS 300 4dr,41010,36196,3,6,220,18,25,3649,110,189,71,RWD,Sedan
Lexus GS 430 4dr,48450,42232,4.3,8,300,18,23,3715,110,189,71,RWD,Sedan
Lexus LS 430 4dr,55750,48583,4.3,8,290,18,25,3990,115,197,72,RWD,Sedan
Lincoln LS V8 Sport 4dr,40095,36809,3.9,8,280,17,24,3768,115,194,73,RWD,Sedan
Lincoln LS V8 Ultimate 4dr,43495,39869,3.9,8,280,17,24,3768,115,194,73,RWD,Sedan
Lincoln Town Car Signature 4dr,41815,38418,4.6,8,239,17,25,4369,118,215,78,RWD,Sedan
Lincoln Town Car Ultimate 4dr,44925,41217,4.6,8,239,17,25,4369,118,215,78,RWD,Sedan
Lincoln Town Car Ultimate L 4dr,50470,46208,4.6,8,239,17,25,4474,124,221,78,RWD,Sedan
Mercedes-Benz C32 AMG 4dr,52120,48522,3.2,6,349,16,21,3540,107,178,68,RWD,Sedan
Mercedes-Benz CL500 2dr,94820,88324,5,8,302,16,24,4085,114,196,73,RWD,Sedan
Mercedes-Benz CL600 2dr,128420,119600,5.5,12,493,13,19,4473,114,196,73,RWD,Sedan
Mercedes-Benz CLK320 coupe 2dr (convertible),45707,41966,3.2,6,215,20,26,3770,107,183,69,RWD,Sedan
Mercedes-Benz CLK500 coupe 2dr (convertible),52800,49104,5,8,302,17,22,3585,107,183,69,RWD,Sedan
Mercedes-Benz E320 4dr,48170,44849,3.2,6,221,19,27,3635,112,190,71,RWD,Sedan
Mercedes-Benz E500 4dr,57270,53382,5,8,302,16,20,3815,112,190,71,RWD,Sedan
Mercedes-Benz S430 4dr,74320,69168,4.3,8,275,18,26,4160,122,203,73,RWD,Sedan
Mercedes-Benz S500 4dr,86970,80939,5,8,302,16,24,4390,122,203,73,AWD,Sedan
Saab 9-3 Arc convertible 2dr,40670,38520,2,4,210,21,29,3480,105,182,69,FWD,Sedan
Saab 9-3 Aero convertible 2dr,43175,40883,2,4,210,21,30,3700,105,182,69,FWD,Sedan
Volkswagen Phaeton 4dr,65000,59912,4.2,8,335,,,5194,118,204,75,FWD,Sedan
Volkswagen Phaeton W12 4dr,75000,69130,6,12,420,,,5399,118,204,75,FWD,Sedan
Volvo C70 LPT convertible 2dr,40565,38203,2.4,5,197,21,28,3450,105,186,72,FWD,Sedan
Volvo C70 HPT convertible 2dr,42565,40083,2.3,5,242,20,26,3450,105,186,72,FWD,Sedan
Volvo S80 T6 4dr,45210,42573,2.9,6,268,19,26,3653,110,190,72,FWD,Sedan
Acura NSX coupe 2dr manual S,89765,79978,3.2,6,290,17,24,3153,100,174,71,RWD,Sports Car
Audi RS 6 4dr,84600,76417,4.2,8,450,15,22,4024,109,191,78,FWD,Sports Car
Audi TT 1.8 convertible 2dr (coupe),35940,32512,1.8,4,180,20,28,3131,95,159,73,FWD,Sports Car
Audi TT 1.8 Quattro 2dr (convertible),37390,33891,1.8,4,225,20,28,2921,96,159,73,AWD,Sports Car
Audi TT 3.2 coupe 2dr (convertible),40590,36739,3.2,6,250,21,29,3351,96,159,73,AWD,Sports Car
BMW M3 coupe 2dr,48195,44170,3.2,6,333,16,24,3415,108,177,70,RWD,Sports Car
BMW M3 convertible 2dr,56595,51815,3.2,6,333,16,23,3781,108,177,70,RWD,Sports Car
BMW Z4 convertible 2.5i 2dr,33895,31065,2.5,6,184,20,28,2932,98,161,70,RWD,Sports Car
BMW Z4 convertible 3.0i 2dr,41045,37575,3,6,225,21,29,2998,98,161,70,RWD,Sports Car
Cadillac XLR convertible 2dr,76200,70546,4.6,8,320,17,25,3647,106,178,72,RWD,Sports Car
Chevrolet Corvette 2dr,44535,39068,5.7,8,350,18,25,3246,105,180,74,RWD,Sports Car
Chevrolet Corvette convertible 2dr,51535,45193,5.7,8,350,18,25,3248,105,180,74,RWD,Sports Car
Chrysler Crossfire 2dr,34495,32033,3.2,6,215,17,25,3060,95,160,70,RWD,Sports Car
Dodge Viper SRT-10 convertible 2dr,81795,74451,8.3,10,500,,,3410,99,176,75,RWD,Sports Car
Ford Mustang 2dr (convertible),18345,16943,3.8,6,193,20,29,3290,101,183,73,RWD,Sports Car
Ford Mustang GT Premium convertible 2dr,29380,26875,4.6,8,260,17,25,3347,101,183,73,RWD,Sports Car
Ford Thunderbird Deluxe convert w/hardtop 2dr,37530,34483,3.9,8,280,17,24,3780,107,186,72,FWD,Sports Car
Honda S2000 convertible 2dr,33260,29965,2.2,4,240,20,25,2835,95,162,69,RWD,Sports Car
Hyundai Tiburon GT V6 2dr,18739,17101,2.7,6,172,19,26,3023,100,173,69,FWD,Sports Car
Jaguar XK8 coupe 2dr,69995,63756,4.2,8,294,18,26,3779,102,187,71,RWD,Sports Car
Jaguar XK8 convertible 2dr,74995,68306,4.2,8,294,18,26,3980,102,187,71,RWD,Sports Car
